Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Dharmin Parmar,996149,Gymkhana,"DCC,Alliance Stars,Gymkhana,Lions CC,Dcc A,Dcc,LEGENDS,JiuZhou Gymkhana,Tembo Stars,Dar Legends XI,Horizon Teleports DCC",All Rounder,Right Handed Batter,Left Arm Off Spin
Faisal Gothey,996148,Karibu Tanzanite DCC,"Lions Castilla,Lions CC,Karibu Tanzanite DCC,Lions Youths",All Rounder,Right Handed Batter,Right Arm Medium
Hasham Ahmed,996152,Econo Lodge Lions,"Lions Castilla,Lions B,Lions CC,Econo Lodge Lions,Lions Cricket Club",All Rounder,Right Handed Batter,Right Arm Off Spin
Imran Khan,996147,Lions C,"Lions Castilla,Lions CC,Lions C",Bowler,Right Handed Batter,Right Arm Medium
Mohamed Salim,996156,Park Mobile Lions,"Lions CC,Lions Cricket Club,Meru Royal Rhinos,CTV Royal Rhinos,All Season Lions,Kaon Lions,Lions A,Park Mobile Lions,Strongroom CC,GIANTS,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Medium
Mubin Hassan,996150,Lions C,"Lions Castilla,Lions B,Lions CC,Kaon Lions,Lions C",All Rounder,Right Handed Batter,Right Arm Medium
Rizwan Lakhani,996379,Lions C,"Lions Castilla,Lions CC,Lions C",All Rounder,Right Handed Batter,Right Arm Medium
Sajad Ratansi,996154,Karibu Tanzanite DCC,"DCC,Petrofuel Stars,Lions CC,Dcc,Karibu Tanzanite DCC,LEGENDS,Dcc A,Dar Legends XI,Horizon Teleports DCC,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Medium
Sajid Qureshi,1006744,Lions CC,Lions CC,All Rounder,Right Handed Batter,Right Arm Medium
Shani Moidu,996155,Lions C,"Lions Castilla,Lions CC,Lions C",All Rounder,Right Handed Batter,Right Arm Medium
Suraj Pala,996144,Delaware Upanga SC,"Petrofuel Stars,Tembo Warriors,Lions CC,Strikers A,Upanga Sports Club,Gupta Upanga SC - A,Chui Challengers,Reliance Simba Kings,Toyam Chui Challengers,Azania Bank Upanga SC,FMED Upanga,Delaware Upanga SC - A,Delaware Upanga SC,Tembo Rangers,Black & Decker Upanga",All Rounder,Right Handed Batter,Left Arm Leg Spin
